"id","title","title_japanese","type","source","episodes","status","aired_from","aired_to","score","scored_by","rank","popularity","members","favorites","rating","duration","year","season","genres","studios","image_url","synopsis"
"4224","Toradora!","とらドラ！","TV","LIGHT_NOVEL","25","FINISHED","2008-10-02","2009-03-26","7.8","","38","527449","","21620","","24","2008","FALL","Comedy, Drama, Romance, Slice of Life","J.C.STAFF","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx4224-PXVMBLNwy2aF.jpg","Ryuuji Takasu is a gentle high school student with a love for housework; but in contrast to his kind nature, he has an intimidating face that often gets him labeled as a delinquent. On the other hand is Taiga Aisaka, a small, doll-like student, who is anything but a cute and fragile girl. Equipped with a wooden katana and feisty personality, Taiga is known throughout the school as the ""Palmtop Tiger.""
<br><br>
One day, an embarrassing mistake causes the two students to cross paths. Ryuuji discov"
"20447","Noragami","ノラガミ","TV","MANGA","12","FINISHED","2014-01-05","2014-03-23","7.8","","39","527412","","18019","","24","2014","WINTER","Action, Adventure, Comedy, Supernatural","bones","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20447-EoQXeygHaVCK.jpg","Minor god Yato is down on his luck. Fed up with his slacker lifestyle, his partner abruptly quits. He has no money, no worshippers, and no shrine to call home. But just when things are starting to seem hopeless, a bus accident forces him to cross paths with Hiyori Iki, a sweet and perky high school girl. After the accident, Hiyori's soul has a bad habit of slipping out of her body, and after enlisting Yato's help to get her back to normal, she begins to fall into the world of spirits and gods.<b"
"101348","VINLAND SAGA","ヴィンランド・サガ","TV","MANGA","24","FINISHED","2019-07-08","2019-12-30","8.7","","40","524801","","36860","","24","2019","SUMMER","Action, Adventure, Drama","WIT STUDIO","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx101348-2fhDFPCuMNiz.jpg","Thorfinn is son to one of the Vikings' greatest warriors, but when his father is killed in battle by the mercenary leader Askeladd, he swears to have his revenge. Thorfinn joins Askeladd's band in order to challenge him to a duel, and ends up caught in the middle of a war for the crown of England.
<br><br>
(Source: Kodansha USA)"
"20613","Akame ga Kill!","アカメが斬る！","TV","MANGA","24","FINISHED","2014-07-07","2014-12-15","7.3","","41","524688","","16099","","24","2014","SUMMER","Action, Adventure, Drama, Fantasy, Horror, Psychological, Thriller","WHITE FOX","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20613-HXHpec4bemk5.jpg","In a land where corruption rules and a ruthless Prime Minister has turned the puppet Emperor's armies of soldiers, assassins and secret police against the people, only one force dares to stand against them: Night Raid, an elite team of relentless killers, each equipped with an Imperial Arm - legendary weapons with unique and incredible powers created in the distant past.<br>
<br>
Rescued from a fate worse than death by Night Raid, young Tatsumi is offered the chance to join their lethal ranks… b"
"104276","Boku no Hero Academia 4","僕のヒーローアカデミア４","TV","MANGA","25","FINISHED","2019-10-12","2020-04-04","7.9","","42","519190","","11820","","24","2019","FALL","Action, Adventure, Comedy, Drama, Sci-Fi","bones","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx104276-SnEowMvesWIE.png","The villain world teeters on the brink of war now that All For One is out of the picture. Shigaraki of the League of Villains squares off with Overhaul of the yakuza, vying for total control of the shadows. Meanwhile, Deku gets tangled in another dangerous internship as he struggles to keep pace with his upperclassman—Mirio.<br><br>(Source: Crunchyroll)"
"124080","Horimiya","ホリミヤ","TV","MANGA","13","FINISHED","2021-01-10","2021-04-04","8.1","","43","518942","","32285","","24","2021","WINTER","Comedy, Romance, Slice of Life","CloverWorks","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx124080-3i22mRVPBS0T.jpg","A secret life is the one thing they have in common. At school, Hori is a prim and perfect social butterfly, but the truth is she's a brash homebody. Meanwhile, under a gloomy facade, Miyamura hides a gentle heart, along with piercings and tattoos. In a chance meeting, they both reveal a side they've never shown. Could this blossom into something new?<br>
<br>
(Source: Funimation)"
"20789","Nanatsu no Taizai","七つの大罪","TV","MANGA","24","FINISHED","2014-10-05","2015-03-29","7.3","","44","516016","","11576","","25","2014","FALL","Action, Adventure, Comedy, Ecchi, Fantasy, Supernatural","A-1 Pictures","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20789-Ma5ouSYPkru9.jpg","When they were accused of trying to overthrow the monarchy, the feared warriors the Seven Deadly Sins were sent into exile. Princess Elizabeth discovers the truth - the Sins were framed by the king's guard, the Holy Knights - too late to prevent them from assassinating her father and seizing the throne!<br>
Now the princess is on the run, seeking the Sins to help her reclaim the kingdom. But the first Sin she meets, Meliodas, is a little innkeeper with a talking pig. He doesn't even have a real "
"21202","Kono Subarashii Sekai ni Shukufuku wo!","この素晴らしい世界に祝福を！","TV","LIGHT_NOVEL","10","FINISHED","2016-01-14","2016-03-17","7.9","","45","502628","","23207","","23","2016","WINTER","Adventure, Comedy, Ecchi, Fantasy","Studio DEEN","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21202-mPOr80AEjUcZ.png","Kazuma Satou decides that today is the day to get out of the house for a bit. Since he dies, pointlessly, it's clearly a bad choice. The goddess who greets him in the afterlife, however, offers him a chance to be reborn in a world not unlike that of a video game, and as a bonus she'll even throw in a cool item or power! Can't possibly be a bad choice, right? Except he arrives with no money at all, dead average skills, and his ""bonus"" isn't useful at all--since he picked the goddess, Aqua, hersel"
"269","BLEACH","BLEACH","TV","MANGA","366","FINISHED","2004-10-05","2012-03-27","7.9","","46","495251","","30717","","24","2004","FALL","Action, Adventure, Supernatural","Studio Pierrot","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx269-d2GmRkJbMopq.png","Ichigo Kurosaki is a rather normal high school student apart from the fact he has the ability to see ghosts. This ability never impacted his life in a major way until the day he encounters the Shinigami Kuchiki Rukia, who saves him and his family's lives from a Hollow, a corrupt spirit that devours human souls. 
<br><br>
Wounded during the fight against the Hollow, Rukia chooses the only option available to defeat the monster and passes her Shinigami powers to Ichigo. Now forced to act as a subs"
"112151","Kimetsu no Yaiba: Mugen Ressha-hen","鬼滅の刃 無限列車編","MOVIE","MANGA","1","FINISHED","2020-10-16","2020-10-16","8.4","","47","494089","","14426","","117","2020","FALL","Action, Adventure, Drama, Fantasy, Mystery, Supernatural","ufotable","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx112151-1qlQwPB1RrJe.png","This Demon Slayer movie sees Tanjiro Kamado and friends from the Demon Slayer corps board the Infinity Train on a new mission to investigate a mysterious series of disappearances, perpetrated by a demon who has been tormenting people and killing the demon slayers who oppose it."
